question,50,100,150,200,250,300,510,target F1,target size (2 classification)
1,0.598571429,0.765759854,0.704601879,0.771303924,0.751977193,0.738754587,0.768602448,0.75,219
2,0.516739388,0.59913077,0.577448784,0.583063594,0.676841455,0.727970518,0.63826096,0.75,
3,0.736691919,0.53112837,0.718069117,0.69845578,0.761549972,0.733704549,0.744783235,0.75,467
4,0.881568627,0.947655336,0.971017988,0.94336814,0.976113747,0.912528947,0.970832722,0.75,0
5,0.886498599,0.973123897,0.944207779,0.944650019,0.942142528,0.951302555,0.953423669,0.75,44
6,0.81032856,0.684415872,0.682400111,0.757138284,0.793646229,0.803775799,0.797737897,0.75,159
7,0.715842491,0.851376693,0.810070693,0.916744591,0.936565242,0.940037949,0.930143035,0.75,63
8,0.365034965,0.663779205,0.5565585,0.621942091,0.561068535,0.626425191,0.664643376,0.75,2902
9,0.692997199,0.490685016,0.669576218,0.654765217,0.602903746,0.695104194,0.681642642,0.75,2329
10,0.418487395,0.476622504,0.649498597,0.594638263,0.565847302,0.621523545,0.663483583,0.75,2265
11,0.496480741,0.648462648,0.61031526,0.572818812,0.697668673,0.658910216,0.74862812,0.75,625
12,0.616208791,0.681269943,0.605489816,0.638384091,0.667290747,0.705551709,0.708017542,0.75,1194
13,0.628917749,0.533968712,0.624095917,0.499300697,0.563289467,0.567508711,0.564768594,0.75,1.33193E+37
14,0.433571429,0.543100175,0.63821607,0.67367683,0.621847223,0.665441247,0.669752194,0.75,
15,0.630812815,0.664919799,0.653430534,0.711584246,0.695585092,0.718348287,0.709218389,0.75,
16,0.82979798,0.677607248,0.607006609,0.758110471,0.699357836,0.723557083,0.742490844,0.75,688
