,F1 Score,Accuracy,Precision,Recall
evaluation_results_rf01.xlsx,0.626961579,0.637254902,0.611168831,0.586290323
evaluation_results_rf02.xlsx,0.493112073,0.725490196,0.535353535,0.505185185
evaluation_results_rf03.xlsx,0.715344976,0.784313725,0.780172414,0.780172414
evaluation_results_rf04.xlsx,0.704260954,0.81372549,0.855644356,0.671814672
evaluation_results_rf05.xlsx,0.675577937,0.843137255,0.872127872,0.693506494
evaluation_results_rf06.xlsx,0.741118326,0.774509804,0.791666667,0.748324793
evaluation_results_rf07.xlsx,0.672753092,0.696078431,0.674431818,0.627650728
evaluation_results_rf08.xlsx,0.667313364,0.68627451,0.707276507,0.691952253
evaluation_results_rf09.xlsx,0.540440648,0.705882353,0.682352941,0.612366738
evaluation_results_rf10.xlsx,0.528335876,0.62745098,0.806122449,0.547619048
evaluation_results_rf11.xlsx,0.629398571,0.794117647,0.849178911,0.680357143
evaluation_results_rf12.xlsx,0.667129122,0.68627451,0.668181818,0.621710526
evaluation_results_rf13.xlsx,0.570289504,0.607843137,0.646903821,0.630409357
evaluation_results_rf14.xlsx,0.661228011,0.617647059,0.625822368,0.617647059
evaluation_results_rf15.xlsx,0.599515583,0.68627451,0.726062143,0.6405203
evaluation_results_rf16.xlsx,0.741119829,0.833333333,0.822619048,0.830891331
evaluation_results_svm01.xlsx,0.636568239,0.676470588,0.656376518,0.625763126
evaluation_results_svm02.xlsx,0.5452898,0.705882353,0.525252525,0.503542749
evaluation_results_svm03.xlsx,0.711217215,0.705882353,0.707889126,0.69005848
evaluation_results_svm04.xlsx,0.693846386,0.784313725,0.752439024,0.691666667
evaluation_results_svm05.xlsx,0.716077906,0.823529412,0.7901078,0.725925926
evaluation_results_svm06.xlsx,0.746684508,0.833333333,0.829380764,0.808388158
evaluation_results_svm07.xlsx,0.666612589,0.794117647,0.79040404,0.775889644
evaluation_results_svm08.xlsx,0.682396816,0.666666667,0.665383134,0.66615087
evaluation_results_svm09.xlsx,0.658406325,0.784313725,0.687830688,0.675839296
evaluation_results_svm10.xlsx,0.624133301,0.62745098,0.616091954,0.56057577
evaluation_results_svm11.xlsx,0.741343818,0.803921569,0.776136364,0.725
evaluation_results_svm12.xlsx,0.714980898,0.764705882,0.740890688,0.705882353
evaluation_results_svm13.xlsx,0.603397039,0.637254902,0.628748501,0.626175549
evaluation_results_svm14.xlsx,0.64872379,0.647058824,0.672222222,0.643076923
evaluation_results_svm15.xlsx,0.676715709,0.725490196,0.637864612,0.623703704
evaluation_results_svm16.xlsx,0.73170126,0.774509804,0.773148148,0.773887814
